FL_DATE,OP_CARRIER,OP_CARRIER_FL_NUM,ORIGIN,DEST,CRS_DEP_TIME,DEP_TIME,DEP_DELAY,CRS_ARR_TIME,ARR_TIME,CANCELLED,AIR_TIME,DISTANCE
2018-11-09,DL,2602,ATL,MDT,2132,2144.0,12.0,2330,2328.0,0.0,84.0,620.0
2018-11-30,AS,112,ANC,SEA,800,759.0,-1.0,1228,1250.0,0.0,199.0,1448.0
2018-08-04,WN,5855,MSY,MCO,1635,1629.0,-6.0,1920,1908.0,0.0,79.0,551.0
2018-03-12,AS,445,LAX,SEA,1840,1854.0,14.0,2132,2138.0,0.0,120.0,954.0
2018-01-28,WN,2674,PHX,ABQ,1255,1252.0,-3.0,1400,1355.0,0.0,50.0,328.0
2018-11-27,UA,1891,DTW,ORD,748,747.0,-1.0,809,850.0,0.0,46.0,235.0
2018-08-01,UA,2391,EWR,SLC,1955,1054.0,899.0,2308,1326.0,0.0,256.0,1969.0
2018-10-16,WN,874,MAF,HOU,1800,2013.0,133.0,1920,2126.0,0.0,63.0,441.0
2018-01-19,B6,1443,EWR,PBI,2100,2125.0,25.0,2355,2400.0,0.0,133.0,1023.0
2018-07-21,AA,1789,BUF,CLT,823,819.0,-4.0,1021,1015.0,0.0,85.0,546.0
2018-06-29,B6,311,BOS,ORD,949,1028.0,39.0,1141,1211.0,0.0,121.0,867.0
2018-10-26,DL,2199,DEN,ATL,1505,1528.0,23.0,1949,2011.0,0.0,144.0,1199.0
2018-07-15,UA,775,BOS,ORD,845,841.0,-4.0,1025,1004.0,0.0,122.0,867.0
2018-05-08,WN,58,HOU,DAL,2000,2004.0,4.0,2100,2102.0,0.0,43.0,239.0
2018-08-19,DL,2793,CAE,ATL,630,623.0,-7.0,733,726.0,0.0,40.0,192.0
2018-03-30,WN,1864,BNA,DEN,820,820.0,0.0,1015,1014.0,0.0,155.0,1014.0
2018-03-11,WN,4450,BHM,MCO,1715,1716.0,1.0,1945,1940.0,0.0,67.0,479.0
2018-01-23,B6,1236,SJU,STT,830,826.0,-4.0,905,853.0,0.0,15.0,68.0
2018-10-05,AA,423,CLT,PHL,1802,1819.0,17.0,1954,1949.0,0.0,70.0,449.0
2018-12-05,WN,1595,RDU,MCO,545,544.0,-1.0,730,724.0,0.0,84.0,534.0
2018-03-19,WN,1532,SAN,PHX,1710,1709.0,-1.0,1820,1816.0,0.0,52.0,304.0
2018-09-07,AA,1805,CLT,DEN,2216,2214.0,-2.0,2343,2339.0,0.0,181.0,1337.0
2018-03-08,AA,1861,RDU,CLT,1939,1933.0,-6.0,2047,2038.0,0.0,38.0,130.0
2018-01-28,B6,883,JFK,MCO,1546,1558.0,12.0,1855,1858.0,0.0,155.0,944.0
2018-08-02,WN,540,MDW,LAS,805,805.0,0.0,1000,939.0,0.0,195.0,1521.0
2018-10-31,B6,698,MCO,LGA,1920,1910.0,-10.0,2157,2131.0,0.0,127.0,950.0
2018-05-02,DL,2245,AUS,ATL,1715,1708.0,-7.0,2027,2018.0,0.0,104.0,813.0
2018-07-16,G4,705,TUL,SFB,1739,,,2110,,1.0,,995.0
2018-03-23,DL,1576,SLC,SEA,1504,1517.0,13.0,1615,1619.0,0.0,104.0,689.0
2018-04-03,AS,66,CDV,YAK,1650,1704.0,14.0,1738,1751.0,0.0,35.0,213.0
2018-09-27,AS,483,ONT,SEA,1720,1707.0,-13.0,2001,1946.0,0.0,132.0,956.0
2018-01-14,WN,6025,LAX,LAS,2130,2125.0,-5.0,2235,2224.0,0.0,47.0,236.0
2018-07-08,UA,1810,EWR,IAH,1659,1933.0,154.0,1940,2209.0,0.0,165.0,1400.0
2018-01-31,AA,1868,PHL,MCI,1045,1038.0,-7.0,1258,1300.0,0.0,176.0,1038.0
2018-06-20,DL,1921,PHX,DTW,1004,1001.0,-3.0,1654,1645.0,0.0,199.0,1671.0
2018-01-24,WN,2023,LAX,SMF,610,605.0,-5.0,740,722.0,0.0,66.0,373.0
2018-01-22,WN,1041,SLC,PHX,1745,1842.0,57.0,1920,2014.0,0.0,70.0,507.0
2018-05-28,DL,321,STT,JFK,1340,1334.0,-6.0,1740,1804.0,0.0,226.0,1623.0
2018-06-15,DL,2784,ATL,LGA,1730,1814.0,44.0,1959,2016.0,0.0,106.0,762.0
2018-02-28,WN,572,STL,MCI,1030,1033.0,3.0,1135,1133.0,0.0,46.0,237.0
2018-01-12,B6,116,JFK,SYR,735,859.0,84.0,848,1052.0,0.0,45.0,209.0
2018-06-25,UA,1766,IAH,PDX,2135,2146.0,11.0,2348,2357.0,0.0,234.0,1825.0
2018-02-23,UA,674,ATL,EWR,1926,2039.0,73.0,2155,2251.0,0.0,103.0,746.0
2018-02-24,WN,3162,DCA,RSW,1125,1127.0,2.0,1405,1355.0,0.0,134.0,892.0
2018-08-12,DL,537,LGA,ORD,1715,1724.0,9.0,1855,1904.0,0.0,117.0,733.0
2018-03-08,AA,2326,RDU,CLT,1115,1112.0,-3.0,1226,1204.0,0.0,33.0,130.0
2018-12-28,UA,2421,IAH,LAS,750,743.0,-7.0,911,905.0,0.0,173.0,1222.0
2018-12-21,WN,4812,LAX,LAS,1600,1619.0,19.0,1710,1722.0,0.0,47.0,236.0
2018-04-30,DL,2537,SLC,DEN,830,828.0,-2.0,1009,949.0,0.0,58.0,391.0
2018-07-29,WN,3013,MDW,BNA,1250,1305.0,15.0,1410,1423.0,0.0,61.0,395.0
2018-07-02,AA,1771,DFW,LAS,1855,1908.0,13.0,1947,2012.0,0.0,137.0,1055.0
2018-10-26,WN,2234,BNA,OAK,745,740.0,-5.0,1030,1014.0,0.0,256.0,1959.0
2018-08-09,DL,2978,MLB,ATL,1059,1056.0,-3.0,1235,1222.0,0.0,62.0,442.0
2018-12-05,WN,2230,LAS,AUS,1925,1922.0,-3.0,2355,2341.0,0.0,124.0,1090.0
2018-02-20,WN,295,BOS,STL,1805,1817.0,12.0,2020,2022.0,0.0,162.0,1047.0
2018-05-10,AA,746,PHL,BOS,1740,1933.0,113.0,1914,2105.0,0.0,55.0,280.0
2018-12-01,AA,1371,DFW,DSM,2055,2100.0,5.0,2243,2237.0,0.0,82.0,624.0
2018-11-05,WN,2163,MEM,MCO,620,619.0,-1.0,905,901.0,0.0,88.0,684.0
2018-06-11,WN,2084,LAS,DEN,1225,1243.0,18.0,1520,1522.0,0.0,79.0,628.0
2018-12-18,DL,2622,BWI,ATL,1219,1218.0,-1.0,1420,1405.0,0.0,87.0,577.0
2018-11-22,AS,862,OGG,PDX,1310,1257.0,-13.0,2030,2010.0,0.0,301.0,2562.0
2018-08-28,AA,1286,MIA,RDU,2146,2227.0,41.0,2357,31.0,0.0,100.0,700.0
2018-07-31,F9,1424,MKE,RDU,1015,1107.0,52.0,1316,1430.0,0.0,116.0,689.0
2018-10-30,AS,1165,EWR,LAX,1150,1141.0,-9.0,1455,1444.0,0.0,343.0,2454.0
2018-05-15,WN,396,LAX,BNA,825,825.0,0.0,1425,1418.0,0.0,207.0,1797.0
2018-04-30,WN,542,BWI,MDW,1525,1530.0,5.0,1625,1617.0,0.0,90.0,611.0
2018-10-02,AS,403,LAX,SEA,600,552.0,-8.0,854,846.0,0.0,137.0,954.0
2018-08-13,AA,1859,DFW,PHL,1015,1113.0,58.0,1431,1522.0,0.0,167.0,1303.0
2018-06-24,DL,890,LAS,SEA,1830,1824.0,-6.0,2109,2101.0,0.0,128.0,867.0
2018-09-30,DL,1831,SLC,SFO,1650,1648.0,-2.0,1758,1748.0,0.0,91.0,599.0
2018-08-17,F9,1291,CHS,AUS,1700,1655.0,-5.0,1905,1834.0,0.0,132.0,1055.0
2018-10-19,UA,1720,LAS,IAH,1015,1407.0,232.0,1512,1902.0,0.0,154.0,1222.0
2018-03-24,AA,2679,PBI,ORD,2000,2007.0,7.0,2219,2216.0,0.0,168.0,1144.0
2018-09-17,AA,634,PHX,ONT,2030,2021.0,-9.0,2144,2136.0,0.0,50.0,325.0
2018-09-03,UA,269,SFO,LAX,900,858.0,-2.0,1043,1028.0,0.0,55.0,337.0
2018-05-24,F9,536,BZN,DEN,1935,2016.0,41.0,2115,2146.0,0.0,71.0,524.0
2018-07-11,AA,2490,STL,CLT,717,708.0,-9.0,1014,1001.0,0.0,82.0,575.0
2018-01-11,WN,1711,MCI,HOU,1355,1358.0,3.0,1600,1610.0,0.0,109.0,666.0
2018-01-15,AA,687,CLT,ATL,2024,2024.0,0.0,2142,2144.0,0.0,42.0,226.0
2018-10-20,WN,2834,MCO,DEN,1650,1650.0,0.0,1845,1838.0,0.0,211.0,1546.0
2018-02-04,WN,2327,DEN,MCI,700,656.0,-4.0,940,928.0,0.0,71.0,533.0
2018-11-01,AA,2616,DFW,OKC,655,651.0,-4.0,753,744.0,0.0,31.0,175.0
2018-10-30,B6,1011,BOS,ORD,1638,1628.0,-10.0,1837,1828.0,0.0,135.0,867.0
2018-03-03,B6,518,JFK,BOS,745,1029.0,164.0,857,1134.0,0.0,43.0,187.0
2018-03-31,AS,326,SEA,SJC,1730,1727.0,-3.0,1934,1924.0,0.0,97.0,696.0
2018-10-14,AA,451,IAH,PHL,1214,1406.0,112.0,1640,1825.0,0.0,162.0,1325.0
2018-10-23,AS,1885,DAL,LAX,1850,1917.0,27.0,2010,2033.0,0.0,175.0,1246.0
2018-07-29,DL,2136,ELP,ATL,1153,1152.0,-1.0,1710,1705.0,0.0,168.0,1282.0
2018-05-08,AA,1080,DFW,LAS,906,858.0,-8.0,1010,949.0,0.0,141.0,1055.0
2018-01-27,UA,619,SEA,ORD,2320,2312.0,-8.0,514,434.0,0.0,186.0,1721.0
2018-12-16,WN,3967,HOU,BWI,1450,1457.0,7.0,1845,1845.0,0.0,156.0,1246.0
2018-01-14,DL,2571,JFK,SJU,1150,1200.0,10.0,1640,1648.0,0.0,207.0,1598.0
2018-05-20,DL,1891,ATL,TPA,930,928.0,-2.0,1052,1046.0,0.0,61.0,406.0
2018-04-08,UA,410,SMF,DEN,515,506.0,-9.0,837,815.0,0.0,108.0,909.0
2018-12-20,AA,2533,LAX,SFO,945,941.0,-4.0,1113,1132.0,0.0,55.0,337.0
2018-12-25,B6,61,BOS,SJU,2245,2336.0,51.0,341,419.0,0.0,208.0,1674.0
2018-03-10,WN,2958,RSW,ATL,850,856.0,6.0,1035,1039.0,0.0,88.0,515.0
2018-06-13,WN,2141,HOU,ATL,655,651.0,-4.0,955,954.0,0.0,105.0,696.0
2018-08-22,AA,1814,PHL,DFW,1515,1522.0,7.0,1756,1754.0,0.0,187.0,1303.0
2018-11-09,UA,1866,EWR,DFW,1530,1650.0,80.0,1825,1956.0,0.0,222.0,1372.0
2018-08-06,AS,1808,PDX,SFO,1445,1501.0,16.0,1635,1639.0,0.0,82.0,550.0
2018-04-21,DL,2045,MSP,SAN,905,900.0,-5.0,1057,1028.0,0.0,187.0,1532.0
2018-11-08,WN,3680,DEN,SNA,2035,2034.0,-1.0,2200,2155.0,0.0,125.0,846.0
2018-03-13,DL,844,DCA,ATL,1340,1339.0,-1.0,1535,1532.0,0.0,86.0,547.0
2018-09-09,NK,219,DFW,ATL,815,809.0,-6.0,1120,1112.0,0.0,98.0,731.0
2018-08-07,DL,816,PDX,LAX,1600,1602.0,2.0,1830,1820.0,0.0,113.0,834.0
2018-12-20,WN,6647,PIT,BNA,1855,1923.0,28.0,1935,2002.0,0.0,78.0,462.0
2018-07-17,UA,1170,LAX,HNL,1713,1712.0,-1.0,1959,1948.0,0.0,313.0,2556.0
2018-10-02,DL,942,GSO,ATL,1011,1008.0,-3.0,1130,1114.0,0.0,51.0,306.0
2018-02-01,AA,1820,RSW,CLT,1015,1012.0,-3.0,1216,1210.0,0.0,96.0,600.0
2018-04-24,F9,1301,CHS,AUS,1644,1638.0,-6.0,1903,1831.0,0.0,145.0,1055.0
2018-03-26,DL,2870,BWI,ATL,700,659.0,-1.0,903,848.0,0.0,88.0,577.0
2018-10-19,UA,1151,DEN,TUL,2025,2022.0,-3.0,2256,2251.0,0.0,67.0,541.0
2018-02-11,DL,1648,MDW,ATL,1205,1157.0,-8.0,1502,1506.0,0.0,97.0,591.0
2018-04-26,UA,1899,LAS,IAH,808,802.0,-6.0,1304,1252.0,0.0,143.0,1222.0
2018-04-08,G4,904,PIE,MCI,750,748.0,-2.0,937,943.0,0.0,158.0,1045.0
2018-07-02,WN,1980,AUS,MCO,915,911.0,-4.0,1300,1238.0,0.0,133.0,994.0
2018-01-10,B6,1039,BOS,AUS,700,651.0,-9.0,1053,953.0,0.0,225.0,1698.0
2018-04-01,WN,4923,SEA,PHX,2000,2013.0,13.0,2250,2244.0,0.0,137.0,1107.0
2018-12-07,UA,1971,DEN,RSW,815,810.0,-5.0,1350,1320.0,0.0,175.0,1607.0
2018-03-06,WN,806,MDW,PHX,910,910.0,0.0,1205,1154.0,0.0,203.0,1444.0
2018-06-14,WN,2058,TUS,LAX,1145,1139.0,-6.0,1315,1303.0,0.0,65.0,451.0
2018-12-05,WN,2186,SAT,BNA,1855,1850.0,-5.0,2100,2043.0,0.0,102.0,822.0
2018-03-05,AS,18,SEA,JFK,2139,2130.0,-9.0,600,533.0,0.0,285.0,2422.0
